Comunidades y Ciudades Autónomas;Sexo;Grupos de edad;Periodo;Total
04 Balears, Illes;Hombres;De 30 a 34 años;2010;39,81
04 Balears, Illes;Hombres;De 35 a 39 años;2010;32,25
04 Balears, Illes;Hombres;De 40 a 44 años;2010;35,23
04 Balears, Illes;Hombres;De 45 a 49 años;2010;34,85
04 Balears, Illes;Hombres;De 50 a 54 años;2010;40,22
04 Balears, Illes;Hombres;De 55 a 59 años;2010;42,28
04 Balears, Illes;Hombres;De 60 a 64 años;2010;43,01
04 Balears, Illes;Hombres;De 65 a 69 años;2010;43,97
04 Balears, Illes;Hombres;De 70 a 74 años;2010;31,45
04 Balears, Illes;Hombres;75 y más años;2010;26,7
04 Balears, Illes;Mujeres;De 10 a 14 años;2010;48,97
04 Balears, Illes;Mujeres;De 15 a 19 años;2010;81,99
04 Balears, Illes;Mujeres;De 20 a 24 años;2010;111,52
04 Balears, Illes;Mujeres;De 25 a 29 años;2010;65,29
04 Balears, Illes;Mujeres;De 30 a 34 años;2010;40,11
04 Balears, Illes;Mujeres;De 35 a 39 años;2010;35,6
04 Balears, Illes;Mujeres;De 40 a 44 años;2010;38,64
04 Balears, Illes;Mujeres;De 45 a 49 años;2010;39,56
04 Balears, Illes;Mujeres;De 50 a 54 años;2010;43,62
04 Balears, Illes;Mujeres;De 55 a 59 años;2010;45,06
04 Balears, Illes;Mujeres;De 60 a 64 años;2010;56,37
04 Balears, Illes;Mujeres;De 65 a 69 años;2010;45,67
04 Balears, Illes;Mujeres;De 70 a 74 años;2010;37,72
04 Balears, Illes;Mujeres;75 y más años;2010;31,1
05 Canarias;Hombres;De 10 a 14 años;2010;87,02
05 Canarias;Hombres;De 15 a 19 años;2010;93,22
05 Canarias;Hombres;De 20 a 24 años;2010;109,86
05 Canarias;Hombres;De 25 a 29 años;2010;73,06
05 Canarias;Hombres;De 30 a 34 años;2010;53,12
05 Canarias;Hombres;De 35 a 39 años;2010;43,15
05 Canarias;Hombres;De 40 a 44 años;2010;45,17
05 Canarias;Hombres;De 45 a 49 años;2010;44,34
05 Canarias;Hombres;De 50 a 54 años;2010;45,27
05 Canarias;Hombres;De 55 a 59 años;2010;55,82
05 Canarias;Hombres;De 60 a 64 años;2010;73,26
05 Canarias;Hombres;De 65 a 69 años;2010;66,45
05 Canarias;Hombres;De 70 a 74 años;2010;44,73
05 Canarias;Hombres;75 y más años;2010;30,89
05 Canarias;Mujeres;De 10 a 14 años;2010;73,74
05 Canarias;Mujeres;De 15 a 19 años;2010;92,22
05 Canarias;Mujeres;De 20 a 24 años;2010;151,85
05 Canarias;Mujeres;De 25 a 29 años;2010;80,96
05 Canarias;Mujeres;De 30 a 34 años;2010;53,3
05 Canarias;Mujeres;De 35 a 39 años;2010;47,3
05 Canarias;Mujeres;De 40 a 44 años;2010;48,23
05 Canarias;Mujeres;De 45 a 49 años;2010;49,41
05 Canarias;Mujeres;De 50 a 54 años;2010;57,6
05 Canarias;Mujeres;De 55 a 59 años;2010;60,4
05 Canarias;Mujeres;De 60 a 64 años;2010;75,81
05 Canarias;Mujeres;De 65 a 69 años;2010;61,4
05 Canarias;Mujeres;De 70 a 74 años;2010;49,7
05 Canarias;Mujeres;75 y más años;2010;40,65
06 Cantabria;Hombres;De 10 a 14 años;2010;88,05
06 Cantabria;Hombres;De 15 a 19 años;2010;122,56
06 Cantabria;Hombres;De 20 a 24 años;2010;89,95
06 Cantabria;Hombres;De 25 a 29 años;2010;76,72
06 Cantabria;Hombres;De 30 a 34 años;2010;54,54
06 Cantabria;Hombres;De 35 a 39 años;2010;35,64
06 Cantabria;Hombres;De 40 a 44 años;2010;36,57
06 Cantabria;Hombres;De 45 a 49 años;2010;26,77
06 Cantabria;Hombres;De 50 a 54 años;2010;41,8
06 Cantabria;Hombres;De 55 a 59 años;2010;48,85
06 Cantabria;Hombres;De 60 a 64 años;2010;59,6
06 Cantabria;Hombres;De 65 a 69 años;2010;35,66
06 Cantabria;Hombres;De 70 a 74 años;2010;66,17
06 Cantabria;Hombres;75 y más años;2010;45,13
06 Cantabria;Mujeres;De 10 a 14 años;2010;103,05
06 Cantabria;Mujeres;De 15 a 19 años;2010;127,49
06 Cantabria;Mujeres;De 20 a 24 años;2010;119,61
06 Cantabria;Mujeres;De 25 a 29 años;2010;80,92
06 Cantabria;Mujeres;De 30 a 34 años;2010;60,68
06 Cantabria;Mujeres;De 35 a 39 años;2010;55,05
06 Cantabria;Mujeres;De 40 a 44 años;2010;47,51
06 Cantabria;Mujeres;De 45 a 49 años;2010;45,41
06 Cantabria;Mujeres;De 50 a 54 años;2010;57,31
06 Cantabria;Mujeres;De 55 a 59 años;2010;45,03
06 Cantabria;Mujeres;De 60 a 64 años;2010;71,65
06 Cantabria;Mujeres;De 65 a 69 años;2010;68,69
06 Cantabria;Mujeres;De 70 a 74 años;2010;46,41
06 Cantabria;Mujeres;75 y más años;2010;41,7
07 Castilla y León;Hombres;De 10 a 14 años;2010;88,62
07 Castilla y León;Hombres;De 15 a 19 años;2010;109,41
07 Castilla y León;Hombres;De 20 a 24 años;2010;90,45
07 Castilla y León;Hombres;De 25 a 29 años;2010;66,14
07 Castilla y León;Hombres;De 30 a 34 años;2010;46,26
07 Castilla y León;Hombres;De 35 a 39 años;2010;42,88
07 Castilla y León;Hombres;De 40 a 44 años;2010;36,94
07 Castilla y León;Hombres;De 45 a 49 años;2010;34,22
07 Castilla y León;Hombres;De 50 a 54 años;2010;34,2
07 Castilla y León;Hombres;De 55 a 59 años;2010;40,51
07 Castilla y León;Hombres;De 60 a 64 años;2010;57,19
07 Castilla y León;Hombres;De 65 a 69 años;2010;54,69
07 Castilla y León;Hombres;De 70 a 74 años;2010;49,55
07 Castilla y León;Hombres;75 y más años;2010;34,34
07 Castilla y León;Mujeres;De 10 a 14 años;2010;76,7
07 Castilla y León;Mujeres;De 15 a 19 años;2010;119,55
07 Castilla y León;Mujeres;De 20 a 24 años;2010;123,31
07 Castilla y León;Mujeres;De 25 a 29 años;2010;76,39
07 Castilla y León;Mujeres;De 30 a 34 años;2010;59,05
07 Castilla y León;Mujeres;De 35 a 39 años;2010;51,79
07 Castilla y León;Mujeres;De 40 a 44 años;2010;50,51
07 Castilla y León;Mujeres;De 45 a 49 años;2010;49,88
07 Castilla y León;Mujeres;De 50 a 54 años;2010;50,43
07 Castilla y León;Mujeres;De 55 a 59 años;2010;55,82
07 Castilla y León;Mujeres;De 60 a 64 años;2010;57,57
07 Castilla y León;Mujeres;De 65 a 69 años;2010;88,16
07 Castilla y León;Mujeres;De 70 a 74 años;2010;77,9
07 Castilla y León;Mujeres;75 y más años;2010;61,55
08 Castilla - La Mancha;Hombres;De 10 a 14 años;2010;65,7
