"Comunidad","Fecha","Total"
"Andalucía","2020","87060"
"Andalucía","2019","125090"
"Andalucía","2018","106730"
"Andalucía","2017","90680"
"Andalucía","2016","71850"
"Andalucía","2015","61210"
"Andalucía","2014","57880"
"Andalucía","2013","52430"
"Andalucía","2012","58760"
"Andalucía","2011","68810"
"Andalucía","2010","70810"
"Aragón","2020","59180"
"Aragón","2019","111130"
"Aragón","2018","103630"
"Aragón","2017","73440"
"Aragón","2016","57610"
"Aragón","2015","41530"
"Aragón","2014","36850"
"Aragón","2013","33360"
"Aragón","2012","38030"
"Aragón","2011","52800"
"Aragón","2010","56050"
"Asturias","2020","79170"
"Asturias","2019","154750"
"Asturias","2018","125800"
"Asturias","2017","102870"
"Asturias","2016","93730"
"Asturias","2015","73290"
"Asturias","2014","63880"
"Asturias","2013","57820"
"Asturias","2012","65680"
"Asturias","2011","89050"
"Asturias","2010","92780"
"Balears","2020","68820"
"Balears","2019","108900"
"Balears","2018","101550"
"Balears","2017","91100"
"Balears","2016","68810"
"Balears","2015","56650"
"Balears","2014","52760"
"Balears","2013","50350"
"Balears","2012","50790"
"Balears","2011","52950"
"Balears","2010","48850"
"Canarias","2020","79330"
"Canarias","2019","132910"
"Canarias","2018","136380"
"Canarias","2017","126880"
"Canarias","2016","106150"
"Canarias","2015","83920"
"Canarias","2014","74300"
"Canarias","2013","67210"
"Canarias","2012","68670"
"Canarias","2011","68040"
"Canarias","2010","64790"
"Cantabria","2020","79810"
"Cantabria","2019","142190"
"Cantabria","2018","123360"
"Cantabria","2017","97640"
"Cantabria","2016","78830"
"Cantabria","2015","55800"
"Cantabria","2014","50690"
"Cantabria","2013","46460"
"Cantabria","2012","53360"
"Cantabria","2011","71040"
"Cantabria","2010","70540"
"Castilla y León","2020","76180"
"Castilla y León","2019","129750"
"Castilla y León","2018","105610"
"Castilla y León","2017","85520"
"Castilla y León","2016","64140"
"Castilla y León","2015","49270"
"Castilla y León","2014","47260"
"Castilla y León","2013","43270"
"Castilla y León","2012","46340"
"Castilla y León","2011","62530"
"Castilla y León","2010","66260"
"Castilla - La Mancha","2020","68110"
"Castilla - La Mancha","2019","115490"
"Castilla - La Mancha","2018","95800"
"Castilla - La Mancha","2017","71020"
"Castilla - La Mancha","2016","52510"
"Castilla - La Mancha","2015","41590"
"Castilla - La Mancha","2014","37530"
"Castilla - La Mancha","2013","30720"
"Castilla - La Mancha","2012","34330"
"Castilla - La Mancha","2011","52850"
"Castilla - La Mancha","2010","56680"
"Cataluña","2020","75360"
"Cataluña","2019","134990"
"Cataluña","2018","125240"
"Cataluña","2017","113060"
"Cataluña","2016","89090"
"Cataluña","2015","76050"
"Cataluña","2014","66370"
"Cataluña","2013","57700"
"Cataluña","2012","59200"
"Cataluña","2011","71400"
"Cataluña","2010","68830"
"Comunitat Valenciana","2020","77720"
"Comunitat Valenciana","2019","126230"
"Comunitat Valenciana","2018","115400"
"Comunitat Valenciana","2017","92930"
"Comunitat Valenciana","2016","73730"
"Comunitat Valenciana","2015","60810"
"Comunitat Valenciana","2014","55290"
"Comunitat Valenciana","2013","47950"
"Comunitat Valenciana","2012","47170"
"Comunitat Valenciana","2011","57940"
"Comunitat Valenciana","2010","55920"
"Extremadura","2020","80330"
"Extremadura","2019","127270"
"Extremadura","2018","106100"
"Extremadura","2017","85050"
"Extremadura","2016","69260"
"Extremadura","2015","55920"
"Extremadura","2014","51130"
"Extremadura","2013","48980"
"Extremadura","2012","51980"
"Extremadura","2011","71920"
"Extremadura","2010","75670"
"Galicia","2020","94900"
"Galicia","2019","179080"
"Galicia","2018","163670"
"Galicia","2017","127600"
"Galicia","2016","101130"
"Galicia","2015","72270"
"Galicia","2014","63730"
"Galicia","2013","59030"
"Galicia","2012","62430"
"Galicia","2011","86480"
"Galicia","2010","85380"
"Madrid","2020","81630"
"Madrid","2019","152640"
"Madrid","2018","139100"
"Madrid","2017","122070"
"Madrid","2016","94590"
"Madrid","2015","77500"
"Madrid","2014","65510"
"Madrid","2013","52730"
"Madrid","2012","53430"
"Madrid","2011","61310"
"Madrid","2010","53810"
"Murcia","2020","71510"
"Murcia","2019","105540"
"Murcia","2018","91530"
"Murcia","2017","66630"
"Murcia","2016","49400"
"Murcia","2015","38530"
"Murcia","2014","32840"
"Murcia","2013","30490"
"Murcia","2012","31190"
"Murcia","2011","36630"
"Murcia","2010","36150"
"Navarra","2020","71500"
"Navarra","2019","133040"
"Navarra","2018","128640"
"Navarra","2017","107440"
"Navarra","2016","82010"
"Navarra","2015","61460"
"Navarra","2014","57750"
"Navarra","2013","49160"
"Navarra","2012","50600"
"Navarra","2011","63730"
"Navarra","2010","59540"
"País Vasco","2020","76870"
"País Vasco","2019","148760"
"País Vasco","2018","130690"
"País Vasco","2017","115840"
"País Vasco","2016","98150"
"País Vasco","2015","75210"
"País Vasco","2014","70350"
"País Vasco","2013","60400"
"País Vasco","2012","61890"
"País Vasco","2011","78850"
"País Vasco","2010","76680"
" Rioja","2020","58330"
" Rioja","2019","93020"
" Rioja","2018","83070"
" Rioja","2017","61120"
" Rioja","2016","53910"
" Rioja","2015","43920"
" Rioja","2014","36040"
" Rioja","2013","29870"
" Rioja","2012","36260"
" Rioja","2011","56090"
" Rioja","2010","64150"
" Ceuta","2020","78560"
" Ceuta","2019","62030"
" Ceuta","2018","65260"
" Ceuta","2017","69420"
" Ceuta","2016","74950"
" Ceuta","2015","70170"
" Ceuta","2014","66850"
" Ceuta","2013","60610"
" Ceuta","2012","41230"
" Ceuta","2011","136610"
" Ceuta","2010","147750"
"Melilla","2020","56320"
"Melilla","2019","82180"
"Melilla","2018","66500"
"Melilla","2017","58790"
"Melilla","2016","57370"
"Melilla","2015","74380"
"Melilla","2014","64840"
"Melilla","2013","62150"
"Melilla","2012","66580"
"Melilla","2011","78750"
"Melilla","2010","72670"
